epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
81,5351.98,0.76637,2.04695,0.78907,0.91437,0,0.60341,0.45493,0.42763,0.28263,0.53014,0.37915,0.31708,0.16887,0.73681,2.13202,0.83122,0.92156,0,5.81223e-05,5.81223e-05,5.81223e-05
82,5417.14,0.75103,2.02828,0.78517,0.91398,0,0.63647,0.41807,0.42592,0.28106,0.54168,0.37158,0.32558,0.17111,0.73868,2.13909,0.83221,0.92275,0,5.31509e-05,5.31509e-05,5.31509e-05
83,5483.06,0.74675,1.98344,0.77285,0.90856,0,0.62021,0.43809,0.42295,0.28112,0.53775,0.38326,0.32314,0.16996,0.73601,2.14568,0.83556,0.92162,0,4.84041e-05,4.84041e-05,4.84041e-05
84,5550.52,0.74691,2.01104,0.77046,0.90735,0,0.63238,0.44247,0.42446,0.28257,0.56419,0.3783,0.32723,0.17213,0.73848,2.13854,0.83677,0.92284,0,4.38866e-05,4.38866e-05,4.38866e-05
85,5616.11,0.75962,2.01077,0.7796,0.9114,0,0.63845,0.43419,0.42993,0.286,0.57351,0.3785,0.33376,0.17487,0.7356,2.13567,0.82775,0.92226,0,3.96029e-05,3.96029e-05,3.96029e-05
86,5681.78,0.74771,1.96669,0.77312,0.91001,0,0.63228,0.42109,0.42928,0.28407,0.55225,0.36764,0.32485,0.17139,0.73629,2.14632,0.82975,0.92254,0,3.55572e-05,3.55572e-05,3.55572e-05
87,5747.35,0.73953,1.98335,0.76372,0.91073,0,0.63742,0.42607,0.43524,0.28605,0.56049,0.36326,0.32788,0.17413,0.73669,2.15471,0.83357,0.92225,0,3.17535e-05,3.17535e-05,3.17535e-05
88,5813.33,0.74714,1.98102,0.76681,0.908,0,0.62793,0.4402,0.433,0.28603,0.56088,0.37156,0.33053,0.17619,0.7336,2.15756,0.82714,0.9214,0,2.81956e-05,2.81956e-05,2.81956e-05
89,5880.45,0.7573,2.02359,0.77481,0.91086,0,0.62911,0.42836,0.431,0.2869,0.54552,0.3787,0.32638,0.17307,0.73499,2.15531,0.8313,0.9223,0,2.48869e-05,2.48869e-05,2.48869e-05
90,5946.65,0.73879,1.94712,0.7664,0.90926,0,0.62001,0.44407,0.43312,0.28713,0.55982,0.37949,0.33461,0.17544,0.73428,2.14459,0.83402,0.92167,0,2.18308e-05,2.18308e-05,2.18308e-05
91,5994.1,0.75199,1.97894,0.79257,0.91863,0,0.62947,0.43496,0.42682,0.27898,0.55496,0.36544,0.32073,0.1685,0.74586,2.17929,0.84452,0.92433,0,1.90302e-05,1.90302e-05,1.90302e-05
92,6041.49,0.75393,1.98183,0.78508,0.91293,0,0.61709,0.44205,0.42332,0.27828,0.54731,0.37518,0.3199,0.16805,0.74571,2.1684,0.84332,0.92418,0,1.6488e-05,1.6488e-05,1.6488e-05
93,6088.67,0.74476,1.96584,0.77639,0.91407,0,0.60742,0.45509,0.4224,0.2795,0.54957,0.37146,0.32157,0.16947,0.74122,2.15906,0.83647,0.92231,0,1.42065e-05,1.42065e-05,1.42065e-05
94,6135.77,0.7365,1.91737,0.76649,0.91292,0,0.60699,0.45719,0.4292,0.28237,0.54561,0.37765,0.32368,0.17049,0.74075,2.15833,0.83749,0.9221,0,1.21882e-05,1.21882e-05,1.21882e-05
95,6182.65,0.74433,1.93902,0.76883,0.91256,0,0.61606,0.45032,0.42404,0.27959,0.5637,0.3658,0.32349,0.17015,0.74022,2.16441,0.83941,0.92197,0,1.04349e-05,1.04349e-05,1.04349e-05
96,6229.55,0.74366,1.93578,0.76662,0.91257,0,0.62037,0.44171,0.42489,0.27963,0.55094,0.37032,0.32132,0.17096,0.73953,2.16417,0.8341,0.92213,0,8.94841e-06,8.94841e-06,8.94841e-06
97,6276.78,0.74455,1.92552,0.76643,0.91228,0,0.61071,0.44903,0.42234,0.27943,0.56194,0.37019,0.32742,0.17036,0.73946,2.16741,0.83338,0.92108,0,7.73019e-06,7.73019e-06,7.73019e-06
98,6323.6,0.744,1.94871,0.76379,0.91178,0,0.6102,0.45265,0.42885,0.28105,0.54529,0.3833,0.32826,0.17046,0.74017,2.16055,0.83363,0.92223,0,6.78144e-06,6.78144e-06,6.78144e-06
99,6370.53,0.7406,1.938,0.7645,0.91262,0,0.61673,0.45352,0.42708,0.28059,0.55119,0.38402,0.33041,0.17139,0.73824,2.16158,0.83217,0.92116,0,6.10308e-06,6.10308e-06,6.10308e-06
100,6417.51,0.73929,1.92932,0.76131,0.91535,0,0.6191,0.44286,0.42925,0.28207,0.55217,0.37394,0.33203,0.17204,0.73774,2.15698,0.83394,0.92111,0,5.6958e-06,5.6958e-06,5.6958e-06
