species_id,species_name,rank,neighbor_id,neighbor_name,distance
0195,Ctenolophon parvifolius Oliv.,4,0147,Ceiba pentandra (L.) Gaertn.,0.2774555136611193
0195,Ctenolophon parvifolius Oliv.,5,0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0.27954217670362785
0207,Dalbergia nigra (Vell.) Allemão ex Benth.,1,0399,Lovoa trichilioides Harms,0.30865481414268625
0207,Dalbergia nigra (Vell.) Allemão ex Benth.,2,0678,Albizia ferruginea (Guill. & Perr.) Benth.,0.346132700374825
0207,Dalbergia nigra (Vell.) Allemão ex Benth.,3,0030,Amburana cearensis (Allemão) A.C.Sm.,0.35178051362433105
0207,Dalbergia nigra (Vell.) Allemão ex Benth.,4,0003,Acacia mangium Willd.,0.36434744590808094
0207,Dalbergia nigra (Vell.) Allemão ex Benth.,5,0625,Terminalia superba Engl.& Diels,0.4058958853958954
0214,Daniellia thurifera Benn.,1,0115,Carapa guianensis Aubl.,0.3682516310584688
0214,Daniellia thurifera Benn.,2,0258,Entandrophragma cylindricum (Sprague) Sprague,0.42110162346292024
0214,Daniellia thurifera Benn.,3,0608,Swietenia mahagoni (L.) Jacq.,0.44854157177884757
0214,Daniellia thurifera Benn.,4,0606,Swietenia humilis Zucc.,0.45904671470510416
0214,Daniellia thurifera Benn.,5,0073,Balfourodendron riedelianum (Engl.) Engl.,0.520665878877118
0236,Dipterocarpus C.F.Gaertn.,1,0238,Dipterocarpus kerrii King,0.015279224346443798
0236,Dipterocarpus C.F.Gaertn.,2,0295,Fraxinus nigra Marshall,0.0471624008456803
0236,Dipterocarpus C.F.Gaertn.,3,0147,Ceiba pentandra (L.) Gaertn.,0.0877361579964018
0236,Dipterocarpus C.F.Gaertn.,4,0195,Ctenolophon parvifolius Oliv.,0.16304042960445025
0236,Dipterocarpus C.F.Gaertn.,5,0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0.17696272576391991
0238,Dipterocarpus kerrii King,1,0236,Dipterocarpus C.F.Gaertn.,0.015279224346443798
0238,Dipterocarpus kerrii King,2,0295,Fraxinus nigra Marshall,0.06130425258611738
0238,Dipterocarpus kerrii King,3,0147,Ceiba pentandra (L.) Gaertn.,0.08783720827859268
0238,Dipterocarpus kerrii King,4,0195,Ctenolophon parvifolius Oliv.,0.16127429112198555
0238,Dipterocarpus kerrii King,5,0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0.19564151051896334
0239,Dipteryx odorata (Aubl.) Forsyth f.,1,0095,Brosimum alicastrum Swartz,0.15064927475991013
0239,Dipteryx odorata (Aubl.) Forsyth f.,2,0045,Anopyxis klaineana (Pierre) Engl.,0.19985197628881704
0239,Dipteryx odorata (Aubl.) Forsyth f.,3,0243,Dracontomelon dao (Blanco) Merr. & Rolfe,0.2602491881133546
0239,Dipteryx odorata (Aubl.) Forsyth f.,4,0238,Dipterocarpus kerrii King,0.3113091363604952
0239,Dipteryx odorata (Aubl.) Forsyth f.,5,0035,Anacardium giganteum Hancock ex Engl.,0.3151809845994491
0243,Dracontomelon dao (Blanco) Merr. & Rolfe,1,0045,Anopyxis klaineana (Pierre) Engl.,0.12338007644130053
0243,Dracontomelon dao (Blanco) Merr. & Rolfe,2,0035,Anacardium giganteum Hancock ex Engl.,0.1678316465539428
0243,Dracontomelon dao (Blanco) Merr. & Rolfe,3,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.2602491881133546
0243,Dracontomelon dao (Blanco) Merr. & Rolfe,4,0095,Brosimum alicastrum Swartz,0.27297022330142595
0243,Dracontomelon dao (Blanco) Merr. & Rolfe,5,0147,Ceiba pentandra (L.) Gaertn.,0.28759250902640243
0244,Dryobalanops C.F.Gaertn.,1,0542,Pycnanthus angolensis (Welw.) Warb.,0.3991226852156058
0244,Dryobalanops C.F.Gaertn.,2,0326,Guibourtia ehie (A. Chev.) J. Léonard,0.41569349356370927
0244,Dryobalanops C.F.Gaertn.,3,0245,Dryobalanops aromatica C.F.Gaertn.,0.44120253751987015
0244,Dryobalanops C.F.Gaertn.,4,0114,Cantleya corniculata (Becc.) R.A.Howard,0.5073657793440455
0244,Dryobalanops C.F.Gaertn.,5,0323,Guibourtia demeusei (Harms) J.Léonard,0.54982555157669
0245,Dryobalanops aromatica C.F.Gaertn.,1,0244,Dryobalanops C.F.Gaertn.,0.44120253751987015
0245,Dryobalanops aromatica C.F.Gaertn.,2,0480,Peltogyne mexicana Martínez,0.5265753774195052
0245,Dryobalanops aromatica C.F.Gaertn.,3,0380,Libidibia paraguariensis (D.Parodi) G.P.Lewis,0.5337727020477943
0245,Dryobalanops aromatica C.F.Gaertn.,4,0239,Dipteryx odorata (Aubl.) Forsyth f.,0.5351338535919643
0245,Dryobalanops aromatica C.F.Gaertn.,5,0367,Juglans nigra L.,0.5756731698950633
0256,Entandrophragma angolense (Welw.) Panshin,1,0607,Swietenia macrophylla King,0.18475461245967295
0256,Entandrophragma angolense (Welw.) Panshin,2,0608,Swietenia mahagoni (L.) Jacq.,0.26563595436731646
0256,Entandrophragma angolense (Welw.) Panshin,3,0323,Guibourtia demeusei (Harms) J.Léonard,0.28943115410785925
0256,Entandrophragma angolense (Welw.) Panshin,4,0331,Heritiera utilis (Sprague) Sprague,0.36018154441403943
0256,Entandrophragma angolense (Welw.) Panshin,5,0326,Guibourtia ehie (A. Chev.) J. Léonard,0.43176356570588936
0257,Entandrophragma candollei Harms,1,0396,Lophira alata Banks ex C.F.Gaertn.,0.32035709990817685
0257,Entandrophragma candollei Harms,2,0431,Millettia laurentii De Wild.,0.32367003958192286
0257,Entandrophragma candollei Harms,3,0318,Leplaea cedrata (A.Chev.) E.J.M.Koenen & J.J.de Wilde,0.3369371966042579
0257,Entandrophragma candollei Harms,4,0541,Pterygota macrocarpa K. Schum.,0.424025762760675
0257,Entandrophragma candollei Harms,5,0530,Pterocarpus soyauxii Taub.,0.5254673133122449
0258,Entandrophragma cylindricum (Sprague) Sprague,1,0003,Acacia mangium Willd.,0.29968184948267984
0258,Entandrophragma cylindricum (Sprague) Sprague,2,0115,Carapa guianensis Aubl.,0.3713248998125951
0258,Entandrophragma cylindricum (Sprague) Sprague,3,0214,Daniellia thurifera Benn.,0.42110162346292024
0258,Entandrophragma cylindricum (Sprague) Sprague,4,0030,Amburana cearensis (Allemão) A.C.Sm.,0.4249846645253318
0258,Entandrophragma cylindricum (Sprague) Sprague,5,0607,Swietenia macrophylla King,0.4461358404703831
0259,Entandrophragma utile (Dawe & Sprague) Sprague,1,0625,Terminalia superba Engl.& Diels,0.5045756266324716
0259,Entandrophragma utile (Dawe & Sprague) Sprague,2,0214,Daniellia thurifera Benn.,0.5299587658936435
0259,Entandrophragma utile (Dawe & Sprague) Sprague,3,0091,Brachystegia Benth.,0.5450286179220409
0259,Entandrophragma utile (Dawe & Sprague) Sprague,4,0258,Entandrophragma cylindricum (Sprague) Sprague,0.5466663699584714
0259,Entandrophragma utile (Dawe & Sprague) Sprague,5,0085,Bobgunnia fistuloides (Harms) J.H. Kirkbr. & Wiersema,0.5478799271905589
0269,Erythrophleum ivorense A. Chev,1,0270,Erythrophleum suaveolens (Guill. & Perr.) Brenan,0.15791958880423432
0269,Erythrophleum ivorense A. Chev,2,0399,Lovoa trichilioides Harms,0.3168954596372436
0269,Erythrophleum ivorense A. Chev,3,0480,Peltogyne mexicana Martínez,0.3406163191150684
0269,Erythrophleum ivorense A. Chev,4,0375,Koompassia malaccensis Maing.,0.417814948326557
0269,Erythrophleum ivorense A. Chev,5,0613,Tabebuia rosea (Bert.) DC.,0.4844210803643373
0270,Erythrophleum suaveolens (Guill. & Perr.) Brenan,1,0269,Erythrophleum ivorense A. Chev,0.15791958880423432
0270,Erythrophleum suaveolens (Guill. & Perr.) Brenan,2,0375,Koompassia malaccensis Maing.,0.30571657659053086
0270,Erythrophleum suaveolens (Guill. & Perr.) Brenan,3,0480,Peltogyne mexicana Martínez,0.32547342728714423
0270,Erythrophleum suaveolens (Guill. & Perr.) Brenan,4,0399,Lovoa trichilioides Harms,0.3664994746127425
0270,Erythrophleum suaveolens (Guill. & Perr.) Brenan,5,0613,Tabebuia rosea (Bert.) DC.,0.4546443307255156
0293,Fraxinus americana L.,1,0297,Fraxinus mandshurica Rupr.,0.12293336018153533
0293,Fraxinus americana L.,2,0296,Fraxinus ornus L.,0.17745613350619158
0293,Fraxinus americana L.,3,0195,Ctenolophon parvifolius Oliv.,0.33617264373695455
0293,Fraxinus americana L.,4,0236,Dipterocarpus C.F.Gaertn.,0.33936703725882
0293,Fraxinus americana L.,5,0238,Dipterocarpus kerrii King,0.3424761348199338
0294,Fraxinus excelsior L.,1,0297,Fraxinus mandshurica Rupr.,0.3070439432540907
0294,Fraxinus excelsior L.,2,0293,Fraxinus americana L.,0.3657803104523063
0294,Fraxinus excelsior L.,3,0296,Fraxinus ornus L.,0.3725195598041736
0294,Fraxinus excelsior L.,4,0258,Entandrophragma cylindricum (Sprague) Sprague,0.46892136811370094
0294,Fraxinus excelsior L.,5,0236,Dipterocarpus C.F.Gaertn.,0.49152204988944037
0295,Fraxinus nigra Marshall,1,0236,Dipterocarpus C.F.Gaertn.,0.0471624008456803
0295,Fraxinus nigra Marshall,2,0238,Dipterocarpus kerrii King,0.06130425258611738
0295,Fraxinus nigra Marshall,3,0195,Ctenolophon parvifolius Oliv.,0.154959546740543
0295,Fraxinus nigra Marshall,4,0147,Ceiba pentandra (L.) Gaertn.,0.19586946190831106
0295,Fraxinus nigra Marshall,5,0033,Anacardium excelsum (Bertero & Balb. ex Kunth) Skeels,0.22384018989105597
0296,Fraxinus ornus L.,1,0297,Fraxinus mandshurica Rupr.,0.16810558843621087
0296,Fraxinus ornus L.,2,0293,Fraxinus americana L.,0.17745613350619158
